stop_id,stop_name,stop_lat,stop_lon,trip_id,arrival_time,departure_time,stop_sequence,direction_id,route_id,route_url,serviceid
70380,"""MINERAL SPRING FS SMITH""",41.857976,-71.4841,2355714,05:53:00,05:53:00,1,0,27,http://www.ripta.com/27,Saturday
20845,"""SMITH AT 2048 SMITH""",41.858174,-71.485611,2355714,05:54:00,05:54:00,2,0,27,http://www.ripta.com/27,Saturday
20730,"""SMITH NS STEERE""",41.857211,-71.483634,2355714,05:54:00,05:54:00,3,0,27,http://www.ripta.com/27,Saturday
20430,"""WOONASQUATUCKET FS STEVENS""",41.854698,-71.482068,2355714,05:55:00,05:55:00,4,0,27,http://www.ripta.com/27,Saturday
20010,"""WOONASQUATUCKET AT 542 WOONASQUATUCKET""",41.852328,-71.480935,2355714,05:55:00,05:55:00,5,0,27,http://www.ripta.com/27,Saturday
19950,"""WOONASQUATUCKET OPP 511 WOONASQUATUCKET""",41.850788,-71.480143,2355714,05:56:00,05:56:00,6,0,27,http://www.ripta.com/27,Saturday
19785,"""WOONASQUATUCKET NS ROCKWELL""",41.848909,-71.478662,2355714,05:56:00,05:56:00,7,0,27,http://www.ripta.com/27,Saturday
19540,"""WOONASQUATUCKET OPP INTERVALE""",41.846661,-71.477204,2355714,05:57:00,05:57:00,8,0,27,http://www.ripta.com/27,Saturday
55720,"""WOONASQUATUCKET OPP HUMBERT""",41.844624,-71.477048,2355714,05:57:00,05:57:00,9,0,27,http://www.ripta.com/27,Saturday
19175,"""WOONASQUATUCKET OPP 297 WOONASQUATUCKET""",41.843355,-71.477189,2355714,05:57:00,05:57:00,10,0,27,http://www.ripta.com/27,Saturday
19010,"""WOONASQUATUCKET OPP LYMAN""",41.842038,-71.476361,2355714,05:58:00,05:58:00,11,0,27,http://www.ripta.com/27,Saturday
18800,"""WOONASQUATUCKET AT JOHN E FOGERTY CTR""",41.840668,-71.475666,2355714,05:58:00,05:58:00,12,0,27,http://www.ripta.com/27,Saturday
18655,"""WOONASQUATUCKET FS METCALF""",41.839057,-71.473023,2355714,05:58:00,05:58:00,13,0,27,http://www.ripta.com/27,Saturday
18435,"""WOONASQUATUCKET NS KLONDIKE""",41.836937,-71.469346,2355714,05:59:00,05:59:00,14,0,27,http://www.ripta.com/27,Saturday
18110,"""FRUIT HILL NS HUBER""",41.834257,-71.46802,2355714,06:00:00,06:00:00,15,0,27,http://www.ripta.com/27,Saturday
17890,"""MANTON OPP 871 MANTON""",41.833496,-71.465879,2355714,06:00:00,06:00:00,16,0,27,http://www.ripta.com/27,Saturday
17775,"""STOP&SHOP (MANTON AVENUE - PROVIDENCE)""",41.832444,-71.465879,2355714,06:01:00,06:01:00,17,0,27,http://www.ripta.com/27,Saturday
17435,"""MANTON AT 770 MANTON""",41.831021,-71.463795,2355714,06:02:00,06:02:00,18,0,27,http://www.ripta.com/27,Saturday
17165,"""MANTON OPP BALTIMORE""",41.829355,-71.462849,2355714,06:02:00,06:02:00,19,0,27,http://www.ripta.com/27,Saturday
17005,"""MANTON AT 652 MANTON""",41.828184,-71.46177,2355714,06:02:00,06:02:00,20,0,27,http://www.ripta.com/27,Saturday
16875,"""MANTON AT 610 MANTON""",41.827152,-71.460933,2355714,06:03:00,06:03:00,21,0,27,http://www.ripta.com/27,Saturday
16785,"""MANTON AT 588 MANTON""",41.826622,-71.460367,2355714,06:03:00,06:03:00,22,0,27,http://www.ripta.com/27,Saturday
16690,"""MANTON NS GLENBRIDGE""",41.826005,-71.458565,2355714,06:03:00,06:03:00,23,0,27,http://www.ripta.com/27,Saturday
16640,"""MANTON AT 470 MANTON""",41.825608,-71.456278,2355714,06:04:00,06:04:00,24,0,27,http://www.ripta.com/27,Saturday
16465,"""MANTON FS SALMON""",41.825035,-71.453874,2355714,06:04:00,06:04:00,25,0,27,http://www.ripta.com/27,Saturday
16200,"""MANTON AT 375 MANTON""",41.824243,-71.452376,2355714,06:04:00,06:04:00,26,0,27,http://www.ripta.com/27,Saturday
15945,"""MANTON FS PANAY""",41.823098,-71.450845,2355714,06:05:00,06:05:00,27,0,27,http://www.ripta.com/27,Saturday
15790,"""MANTON AT 283 MANTON""",41.82232,-71.449704,2355714,06:05:00,06:05:00,28,0,27,http://www.ripta.com/27,Saturday
